Job ID|Job Title|Job URL|Main Location|Company_Name|Salary|Job Description|JD len
9d4c5df8c1447ebd|Data Analyst|https://www.indeed.com/viewjob?jk=9d4c5df8c1447ebd|Milan, IT|IQVIA||"
 On behalf of our Client a global pharmaceutical company, IQVIA is looking for two Data Analyst who can join an exciting working environment in a dynamic atmosphere areas.
 
  Data Analyst who will be responsible for conducting comprehensive data analysis and building reports and visualizations to uncover insights, measure the success of marketing strategies and enable data-driven decision-making. Additionally, the Data Analysts act as a point of reference for the relationship with the holding company, contributes to global/regional projects and actively participates in the development of the data analytics strategy in country.
  Location: office based - Milan
 
  RESPONSIBILITIES:
 
   Utilize statistical methods to examine extensive datasets and conduct comprehensive analysis of various metrics to uncover trends, patterns, and relationships
   Integrate multiple data sources (such as sales, prescriptions, promotional activities, and other touchpoints) to generate timely analysis that contribute to the generation of valuable business insights and present results to the stakeholders in a clear and understandable manner.
   Be independent in retrieving data from data sources and collaborate with cross functional teams to identify or create key performance indicators (KPIs)
   Work alongside the BI&AA team and other functions to fully understand business requirements and proactively develop ad-hoc reports and dashboards
   Maintain and automate interactive reports and visualizations using tools such as Tableau, PowerBI or Excel and collaborate with stakeholders to train them on existing reports/dashboards
   Actively contribute to the Visual Analytics flow by ensuring data reliability and completeness, assisting with UAT and support requests or minor changes/improvements, and helping the business adopt the new Business Intelligence (BI) solution and succeed in its data-driven transformation journey.
   Identify new and more effective models / processes / systems taking part to international work groups and networking with colleagues of other Countries.
   Actively contribute to the definition, innovation and implementation of global/regional Data Analytics strategies and policies.
 
 
  REQUIREMENTS:
 
   Degree in economics / statistics / engineering / math or related field
   4+ years of experience in data crunching, data analysis, business analytics
   Strong experience in translating data into business insights
   Proven experience and familiarity with Advanced Analytics languages (SQL, Python) and visualization tools (Tableau, PowerBI)
   Data proactivity and excellent systemic approach for effective decision-making based on data
   Strong analytical skills and ability to identify and effectively communicate actionable insights
   Significant experience in planning and execute complex projects
   Team spirit, ‘can do’ attitude and pragmatism
 
 
  TYPE OF CONTRACT:
  Chemical Contract – Permanent
 
  IQVIA reserves the right to evaluate candidates with domicile / residence and work experience / study with requirements responding to the open request. Applications WITHOUT the requirements Will NOT be fully taken into account. Please enter the authorization for the processing of personal data (DL196/2003) - General Data Protection Regulation (13 GDPR 679/16 –) to IQVIA and to transfer those data to IQVIA’s Clients. The research is urgent and is intended for candidates of both sexes (L.903/77).
 
  IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com
"|3797
9483592a83171eb7|Data Governance Specialist|https://www.indeed.com/viewjob?jk=9483592a83171eb7|Milan, IT|Deutsche Bank||"

 
  Role Description 
  Support RDO in monitoring the adequacy of the Data Governance framework within the country by coordinating data governance activities across the Bank, with focus on the organization, policies, principles and standards, roles & responsibilities and helping to drive the implementation, management and governance of the Group Data Management Policy and of local Data Management Requirements. 
  The Data Governance Specialist involves the iterative implementation of the Bank’s Data Principles and Policy, aligned to the Maturity Model framework. The role includes implementation and oversight of data management, coordination of Data Quality issues as local SPOC and monitoring metrics to ensure Data Governance standards are maintained on an ongoing basis. Additionally, the Data Governance Specialist will be acting as a point of contact for the Data Owners (e,g, Data Content Owners and Data Platform Owners) with regards to Data Management related topics including the training. 
  Collaborative working is essential for the role along with a proactive “can do” approach as well as fluent English 
  The candidate will act as RDO deputy. 
  
  Main Responsibilities 
  
   Facilitates the implementation, jointly with the relevant stakeholders, of the local data governance framework, transposing the Global Policies to the local documents (e.g. DB Italy Data Management KOD). 
   Acts as a SPOC for Italy of any data quality topic coordinating the Data Owners in the analysis and maintaining updated the related tool. 
   Coordinates the development of new KQIs, consistent with Business requests. 
   Provides assistance to Data Owners to deliver Data Management activities. 
   Provides coordination of the data governance initiatives according to the Data Management Implementation Plan 
   Accurately registers and maintains DB Italy relevant Data Assets (e.g. Authority Statements, Critical Data Elements, KQIs…) within the CDO defined global data management tools (e.g. Collibra) or within local tool (e.g. KQI control inventory). 
   Prepares regular status updates on data governance initiatives in order to inform the local senior management as well as the PB Divisional Data Council. 
   Supports RDO in preparing the DB Italy Regional Data Council presentation. 
   Supports RDO in preparing feedback with Regulators regarding the data governance status updates, when requested. 
  
  
  Qualifications & Skills 
  
   Strong project management skills with relevant experience in multidisciplinar projects (cross-divisional and cross-country) 
   Data control experience – setting-up and managing working groups, defining and enforcing data ownership as well as data maintenance / quality controls / issues remediation plans. 
   Ability to work independently and learn quickly 
   Technology analysis, strong analytical and problem-solving skills 
   Excellent organisational skills and attention to detail 
   Shows initiative in making improvements and doing things well 
   Stakeholder management. Ability to negotiate and positively influence people at appropriate levels within the organization 
   Good communication skills, with the ability to communicate at all levels of the organisation both written and verbal 
   Highly competent in the use of Excel, Word, PowerPoint, SharePoint… 
   Italian and fluent English speaker (written and verbal) 
  
  
  Our values define the working environment we strive to create – diverse, supportive and welcoming of different views. We embrace a culture reflecting a variety of perspectives, insights and backgrounds to drive innovation. We build talented and diverse teams to drive business results and encourage our people to develop to their full potential. Talk to us about flexible work arrangements and other initiatives we offer.  We promote good working relationships and encourage high standards of conduct and work performance. We welcome applications from talented people from all cultures, countries, races, genders, sexual orientations, disabilities, beliefs and generations and are committed to providing a working environment free from harassment, discrimination and retaliation.   Visit Inside Deutsche Bank to discover more about the culture of Deutsche Bank including Diversity, Equity & Inclusion, Leadership, Learning, Future of Work and more besides.
 
"|4363
6c604283ec041869|Data Engineer|https://www.indeed.com/viewjob?jk=6c604283ec041869|Milan, IT|SISAL||"
 
  About us:
 
 
   Founded on the dream and insight of three sports journalists in 1945, Sisal was the first Italian company to operate in the gaming and betting industry as a government licensee.
 
 
   Sisal is now part of 
  
   Flutter Entertainment plc
  , the world’s largest online sports betting and gaming operator with a portfolio of globally recognized brands and a constituent of the FTSE 100 index of the London Stock Exchange.
 
 
   The company’s commitment to building a more responsible future rests on a sustainability strategy with long-term objectives to affirm Sisal as a leader in Responsible Gaming, an innovative and sustainable company and an exemplary work environment.
 
 
 
   What you’ll do:
 
 
   You will join the team of data platform engineers and in particular in the business / management of Data platform & AI, reporting directly to the AI & Data Platform Manager
   You will have the opportunity to be involved with ETL/ELT processes, data streaming with Kafka and KStream applications using cloud platforms like Oracle Cloud Infrastructure and Amazon Web Services, Data modelling, Data lineage, Data Quality and Observability
 
 
 
   Who you are:
 
 
   You have at least 3+ years of experience in dealing with engineering of data solutions in cloud;
   You have a degree in a STEM subject or sufficient applicable experience;
   You have excellent knowledge of SQL, Python, Java, ETL Pipelines, API Integration;
   You are proficient in English and Italian, both spoken and written;
   You are proactive with good time-management skills and determined to face problems head-on;
   You know how to work in an engineering team in an agile way.
 
 
 
   Preferrably, you also have:
 
 
   Previous experience in using Kubernetes products, Strimzy Kafka connectors, Git and CI/CD tools like Tekton and ArgoCD;
   Basic knowledge of infrastructure as code (eg. Terraform) and Change Data Capture (eg. Oracle GoldenGate).
 
 
 
   What we offer you/you can expect from us:
 
 
   Permanent contract;
   Remote work with the chance to visit our offices in Milan, Rome or Naples;
   Company-Owned Devices: laptop and business mobile phone;
   Meal Allowance;
   Supplemental Health Insurance.
 
 
 
   Looking for a role that can support your learning and career goals:
 
 
   Psychological well-being: online meditation courses, medical online service, counselling service thanks to the support of certified psychologists and coaches;
   Continuous learning for soft and hard skills (es. learning platform, trainee bootcamp);
   Support for parents, children and financial aid for mothers.
 
 
 
   Location: Italy, Milan, Via Ugo Bassi, 6.
 
 
   #Li-Hybrid
 
"|2698
9e2f650100635693|Data Analyst Intern EU|https://www.indeed.com/viewjob?jk=9e2f650100635693|Milan, IT|Johnson Controls||"

 What will you do 
 For our Hitachi Air Conditioning division, we are currently looking for a Data Analyst EU Intern. 
 
 How you will do it 
 
  Data Analyst: 
   
    Prepare comprehensive reports summarizing analysis results and recommendations using mainly Power BI/Alteryx analysis for every European country 
    Develop new analysis and insights through Alteryx flows and Power BI reports with Oracle and Salesforce data 
    Data gathering (collect, clean, and validate) and resolve data quality issues to ensure reliability and accuracy 
   
 
 
 
  Data Consistency: 
   
    Ensure all Data is properly charged in the cloud-based software (Salesforce) and there is 100% alignment between the database (Oracle) and Salesforce. 
   
 
 
  Participate to IT follow up meetings when necessary 
 
 
  Be internal PM for deployment projects 
 
 
 What we look for 
 
  Bachelor’s degree in DATA ANALYSIS, Statistics or Economics. 
  Excellent oral and written communication skills in English, as you will be working with the European international team. 
  Basic knowledge of SQL, PowerBI and Alteryx for analysis purposes. Appreciated knowledge in Python, R and SAP. 
  Previous experience(s) as a Data Analyst and/or Data Scientist is a plus. 
  Curiosity, innovation, and proactivity: the ideal candidate is someone who brings new ideas in order to optimize and improve existing procedures and reports.  
 
 Our benefits 
 We offer an exciting and challenging position with great personal freedom and professional responsibility. Joining us you will become part of a leading global multi-industrial corporation defined by its stimulating work environment and job satisfaction. In addition, we offer outstanding career development opportunities that will stretch your abilities and channel your talents. 
 If you are interested to learn more about this exciting opportunity, then please apply directly to the role through the web page. If your application is selected, our central talent acquisition team will inform you to arrange a telephone interview. 
 
 Who we are 
 Johnson Controls is a global diversified technology and multi-industrial leader, serving a wide range of customers in more than 150 countries. Our 120,000 employees create intelligent buildings, efficient energy solutions, integrated infrastructure and next generation transportation systems that work seamlessly together to deliver on the promise of smart cities and communities. Our commitment to sustainability dates back to our roots in 1885, with the invention of the first electric room thermostat. We are committed to helping our customers win and creating greater value for all of our stakeholders, through strategic focus on our buildings and energy growth platforms. 
 
 Johnson Controls–Hitachi Air Conditioning was established on October 1st, 2015 as a joint venture between Hitachi Appliances, Inc. (now Hitachi Global Life Solutions, Inc.) and Johnson Controls, Inc. Hitachi Appliances carved out and contributed its air conditioning business to the Joint Venture. Johnson Controls acquired a 60% stake of the carved-out business and Hitachi Global Life Solutions, Inc. continues as a 40% shareholder of this venture. With this joint venture, two rich, 100-year-old cultures and histories have come together to create one exciting new company, serving our combined customers with the most diverse product portfolio in the air conditioning industry.

"|3445
842bb94117d82bf2|BOTTEGA VENETA - Office & Admin Intern|https://www.indeed.com/viewjob?jk=842bb94117d82bf2|Milan, IT|Groupe Kering|Full-time, Internship|"

 
  Summary
  About us
  Bottega Veneta – inspiring individuality with innovative new modes of craftsmanship since 1966. Under the direction of Matthieu Blazy, creativity lies at the heart of our designs for women, men and home. Born in Vicenza, the house is rooted in Italian culture yet maintains a truly global outlook. An inclusive brand with exclusive products, Bottega Veneta is as much of a feeling as it is an aesthetic.
 
 
   Job Description
 
 
   About us
 
 
   Bottega Veneta – inspiring individuality with innovative new modes of craftsmanship since 1966. Under the direction of Matthieu Blazy, creativity lies at the heart of our designs for women, men and home. Born in Vicenza, the house is rooted in Italian culture yet maintains a truly global outlook. An inclusive brand with exclusive products, Bottega Veneta is as much of a feeling as it is an aesthetic.
 
 
 
   How you will contribute?
 
 
   As a 
  Office & Admin Intern you will provide general support and guidance on a number of tasks and assignments. In particular, you will:
 
 
  
   
     Ensure smooth and efficient carry out of administrative tasks on a daily basis.
   
  
   
     Assist the 
    Executive Assistant in managing any requests of information regarding the Office.
   
  
   
     Collect relevant information for documents and reports; produce documents, briefing papers, reports and presentations as required.
   
  
   
     Coordinate logistics for a variety of meetings, including arranging catering, securing conference space and communicating with attendees.
   
  
   
     Help the 
    Executive Assistant in coordinating domestic and international travel.
   
  
   
     Organize data and creates presentations as needed.
   
 
 
 
   Who you are?
 
 
  
   
     BA Student/Graduate in Fashion Management or related field.
   
  
   
     Ability to work with a diverse and changing working environment. Meticulous eye for detail.
   
  
   
     Proactive approach to problem-solving with a genuine passion for problem solving.
   
  
   
     Highly collaborative style.
   
  
   
     Strong interpersonal communication skills, communicates effectively by actively listening, checking for understanding, adjusting communication content and style to meet diverse stakeholders, and providing timely, helpful information to others.
   
  
   
     Self-motivated with a strong sense of personal accountability.
   
  
   
     Proficiency in Microsoft Office (Outlook, Word, Excel, and PowerPoint) and Mobile Devices.
   
  
   
     Excellent level of Italian and English (verbal and written).
   
 
 
 
   Why work with us?
 
 
   This is a fabulous opportunity to join the Kering adventure and 
  to actively contribute to the development of the business by
   becoming part of a 
  global Luxury Group
   that offers 
  endless 
  possibilities to learn and grow. Talent development is a managerial principle at Kering and we are committed to fostering internal mobility. Our common vision promotes leadership skills and helps every employee to reach their full potential in a stimulating and fulfilling workplace environment. Kering is committed to building a diverse workforce. We believe diversity in all its forms – gender, age, nationality, culture, religious beliefs and sexual orientation – enriches the workplace. It opens up opportunities for people to express their talent, both individually and collectively and it helps foster our ability to adapt to a changing world. As an Equal Opportunity Employer we welcome and consider applications from all qualified candidates, regardless of their background.
 
 
 
   Job Type
  Student (Fixed Term) (Trainee)
 
 
   Start Date
  2023-09-01
 
 
   Schedule
  Full time
 
 
   Organization
  Bottega Veneta S.R.L
"|3791
2d41a49cdca9810f|Data Center Construction Project Manager|https://www.indeed.com/viewjob?jk=2d41a49cdca9810f|Milan, IT|Microsoft||"

 
  Cloud Operations and Innovation (CO+I) is the team behind the cloud. CO+I is responsible for delivering Microsoft web portals, Live and Online Services around the world including infrastructure, security and compliance, operations, globalization, and manageability. Our focus is on smart growth, high efficiency, and delivering a trusted experience to customers and partners worldwide. We are looking for a passionate, high energy individual to help build the network that powers the world’s largest online services.
 
 
 
   The role of the Project Manager requires strong interpersonal, communication and organizational skills, ability to self-direct, strong background in Data Center design, engineering, controls, and operational requirements and an emphasis on project/construction management, Data Center lease market experience, client representation and project and Project level services.
 
 
 
   The Data Center Construction PM is the Employer’s Representative and is responsible for the delivery of core & shell and tenant improvements for a single Data Centre project or multiple projects as may be assigned to them.
 
 
 
   In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.
 
 
  Responsibilities
 
  Project Management
 
   Drives campus-based delivery solutions (e.g., new or retrofit datacenter facilities). Analyzes technical information and provides recommendations to support solutions. Assists campus teams to establish goals for project teams, assigning responsibilities, measuring performance, and seeking and delivering feedback to achieve timely results.
 
 
  Technical Acumen
 
   Reviews engineering documentation/designs, site, and building plans by examining and analyzing technical information. Identifies potential risks/gaps and provides recommendations to project teams that mitigate risk and improves overall constructability. Aligns project/program delivery with execution procedures and standards and ensures alignment with organizational standards and commitments.
 
 
  Change Management
 
   Partners with the Internal CO+I, and other Microsoft key stakeholders (e.g., CSE, ANS, RE&F, etc.) and shares updated process flow information with project team to ensure new processes are being followed that increase program cost savings and improve overall cycle-time and efficiencies.
 
 
  Drives Results
 
   Facilitates the delivery of metro-based/campus projects (e.g., new construction and/or retrofits) by making timely data-based decisions in partnership with local project team and key stakeholders. Champions team and project goals, adhering to business processes, engaging vendor relationships when/where applicable, and fostering positive cross-group collaboration efforts aligned to the program strategy and milestones.
 
 
  Managing Resources
 
   Oversees timely execution of all procurement activities associated with resourcing and materials necessary for delivering program on time and within project budget forecasts. Evaluates resources and ensures adequate staffing and materials for job completion.
 
 
  Project Tracking
 
   Assists with creating and reporting on project progress regarding scope, schedule, standards, and budget.
 
 
  Coordination
 
   Attends and advises during scheduled owner/architect/contractor and other project meetings.
 
 
 
   Goal Alignment
 
 
   Collaborates and contributes needed technical knowledge to internal teams (e.g., Engineering, Operations, CISSR, CSE, Legal, Project Controls, etc.) and GC/Subcontractors to maintain the corporate vision and goals for the project.
 
 
 
   Safety and Regulation
 
 
   Represents Microsoft as a safety leader and advocate on all Campus/Metro construction programs, ensuring adherence to safety standards and regulatory requirements (e.g., OSHA, or equivalent) to ensure compliance and aggressive management of risk. Conducts routine safety program, project, and contractor audits, and performs and participates in incident investigations.
 
 
 
   Risk Mitigation
 
 
   Communicates risk mitigation goals and develops metrics, dashboards and/or scorecards to track, communicate, and drive progress. Suggests actions to support organizational and national safety goals.
 
 
 
   Vendor Management
 
 
   Advises and monitors the performance of vendors and/or contractors, ensuring compliance with contracts and prior audit results. Reviews vendor performance relative to cash flow and budget summaries (with cost management team) and clarifies those reports in presentations to the delivery and executive teams.
 
 
 
   Vendor Selection
 
 
   Reviews and approves vendor scope of work, design review of site and building plans, pay-application, and invoices.
 
 
 
   Financial Acumen
 
 
   Creates and applies best practices to identify and incorporate cost-effective solutions for the strategic and tactical delivery of a construction project. Applies influence, strategy, and decision-making to drive solutions, schedules, and manages change with clients, sponsors, and vendors.
 
 
 
   Budget and Controls
 
 
   Monitors the approved project budget and provides oversight and suggests necessary adjustments for project controls (e.g., Project Expenditure Request (PERs), Professional Services Request (PSRs), Change Orders, Pay Applications, etc.).
 
 
 
   ** Please note that a valid Italian driver's license is mandatory **
 
  Qualifications
 
  Required/Minimum Qualifications
 
   Bachelor's degree in Construction Project Management, Architecture, Engineering, or related field AND +7 years related experience 
   
    OR equivalent experience
   
   Fluent Italian and English
   Experience managing international construction projects with multiple diverse stakeholders
 
 
  Additional or Preferred Qualifications
 
   Experience in Construction Project Management from an industrial and highly regulated enviornment.
 
 
   These requirements include, but are not limited to, the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
 
 
   #COICareers
 
  Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
"|7045
60ce4b1f8e58b803|Internship - Geomarketing and Data Management|https://www.indeed.com/viewjob?jk=60ce4b1f8e58b803|Milan, IT|Pirelli|Internship|"Within the HQ Trade Marketing team, the Trade Effectiveness Intern will be involved in the following activities: 

 
 
 monitoring the quality of information in the commercial tools and identifying actions to improve data 
 supporting markets in applying geo-marketing local rules 
 supporting CRM system adoption with both quantitative and qualitative information 
 conducting market analysis in term of evaluation of territory/dealer potential to identify market opportunities for the company 
 data analysis, preparation and individuation of key findings 
 analysis and tracking of potential clients 
 structuring external data for analysis in internal systems 
 manage best practice sharing among markets 
 
Requirements:
 
 
 Master’s Degree in Marketing Metrics/Economics 
 Numerical and analytics attitude, willingness to work with complex data 
 Attitude to work on projects 
 Good communication skills 
 Knowledge of MS Office, esp. Excel 
 English language (B2) 
 Some automotive interest 
"|1000
70f560e44b1f26b4|Data Scientist|https://www.indeed.com/viewjob?jk=70f560e44b1f26b4|Milan, IT|Prometeia||"
 Are you curious, do you want to get involved, become part of a dynamic company and have the opportunity to innovate with your work and skills? 
  Prometeia offers you opportunities for growth and training in a Group with over 1000 professionals working for more than 500 clients in 20 countries around the world. 
  We are looking for candidates interested in enriching our Data Science team, and the development of new technologies/tools related to it. The ideal candidate has modeling skills and experience in machine learning or big data analysis. He/she also has experience in scientific computing and interest in software engineering. 
  RESPONSIBILITIES: 
 
  Critical analysis of large volumes of banking/insurance data. 
  Participation in the development of behavioral models using Artificial Intelligence in the areas of Risk, Wealth & Asset Management 
  Participation in analysis sharing, problem solving, implementation, testing and documentation activities as part of projects assigned to the team 
  Development and review of simple prototypes/analytic components within more complex pipelines 
 
 REQUIREMENTS: 
 
  Experience in data wrangling, cleaning, exploration, and feature extraction. 
  Experience developing in python and using numpy/pandas. 
  Knowledge of statistics, Machine Learning and major clustering, classification and regression algorithms 
  Ability to rapidly prototype ideas/solutions, develop critical analyses, and use creative approaches to solving complex problems. 
  Attention to detail, excellent communication and teamwork skills. 
  Critical/experimental approach to data analysis. 
 
 NICE TO HAVE: 
 
  Familiarity with python libraries and tools for Machine Learning and scientific computing. 
  Experience with code versioning systems (git). 
  Experience in pyspark development. 
  Experience in processing and modeling with unstructured data (Text Analytics, Computer Vision) 
  Aptitude for design and development of maintainable, robust and scalable code including through test driven development (TDD) 
 
 EDUCATION & EXPERIENCE: 
 
  Bachelor's/Master's degree with excellent grades in Data Science, Statistics, Physics, Mathematics, Computer Science, or related fields (PhD in the same fields is a nice to have) 
  Experience in a corporate environment (including internships), preferably in finance or insurance 
 
 LOCATION: 
  Milano 
  WHAT WE OFFER: 
 COMPENSATION, WELFARE & BENEFIT 
  Our history, as well as the future, is based on the value of our people. The biggest investment at Prometeia is in our people, and it concerns every aspect of professional life. We call it 'Total Compensation' and is made up of Compensation - consisting of a fixed and a variable component -, an important Welfare Plan, active since 2015 – we have been among the first to introduce it in Italy - and Benefits, which include all the initiatives undertaken for the well-being of our people. 
  SMART WORKING 
  Flexibility is an intrinsic value of the way we work. At Prometeia, smart working is an organizational method based on trust, which results in benefits in terms of work/life balance, impact on the environment and optimization of company results, through autonomy and empowerment of people. 
  PEOPLE PROGRAM 
  Our evaluation system is based on the full enhancement of people and their continuous dialogue as a stimulus for regular, mutual professional and personal growth. Transparent discussions between managers and team members are set up within the projects, where reciprocal and timely feedback is exchanged. The process is fully digitalized and aimed at continuously improving the development trajectory of the individual and the company. 
  TRAINING 
  Prometeia means ongoing training. We provide an average of 11 days of training per year to our people, in-person and online. Particular attention is paid to younger colleagues, who are the protagonists of dedicated growth programs, and to the continuous sharing and internal transfer of know-how and skills. On-the-job training is also important, through immediate and direct confrontation with the market. 
  WIN/WIN POLICY 
  If you are one of our employees, and you recommend a person who is later recruited, you are entitled to a financial bonus! This is an important opportunity to contribute to the growth of Prometeia as a whole, by attracting acknowledged market professionals and new tech talents. 
  GESTIONE PHYGITAL 
  Through the dedicated app Pr(Home)teia, we have completely digitalized and integrated the management of our physical and virtual environments. Access to the office, smart working, workstations, meeting rooms, carpooling... everything is just a click away. 
  COMMUNITY 
  Our Community is extremely diverse, as are the skills of the people who are part of it and who share its values, and the individuals and organizations that are directly or indirectly involved in our activities. Clients, People of the Group, Alumni, Institutions, Academia, non-profit entities with which we actively collaborate, are stakeholders representing a great value for us, in terms of trust and collaboration. 
  DIVERSITY 
  We promote and respect equal opportunities and consider differences as a value. Diversity & Inclusion are fundamental values: from the selection phase to everyday life, also through dedicated training moments to develop individual sensitivities and unicities. 
  IMPACT 
  We responsibly take an active role towards the environment, the territories and the communities in which we operate. Our Headquarter in Bologna has obtained the Leed Gold Certification, one of the highest awards that recognizes the performance of the building in terms of energy and water savings, reduction of CO2 emissions, improvement of the ecological quality of the interior, materials and resources used. In the Sustainability Report we report the results achieved within the 17 Sustainable Development Goals (SDGs) of the 2030 Agenda that, drafted by the United Nations in 2016, we have been supporting since 2020.
"|6055
9809c60ea03f787d|"Junior Data & Analytics Consultant | Milano"|https://www.indeed.com/viewjob?jk=9809c60ea03f787d|Milan, IT|KPMG||"
 Data Analytics Junior Consultant Management Consulting – Lighthouse Milan
  
  
 In KPMG big data have little secrets.
  
  
 Lighthouse is a KPMG Advisory centre of excellence delivering an array of data & analytics solutions. 
 Bolstered by frontier technologies and a host of skills shared across the globe, the members of KPMG Advisory's Data & analytics team are tasked with enhancing human decisions through analytics and machine learning technologies. 
 We have received prestigious international accolades for our ability to interpret and manage data. As a member of the Data Analytics team, you will have the opportunity to define and implement the best solutions on the market, with access to the wealth of knowledge shared among our centres of excellence around the world. By combining your expertise and technical experience in computer science, mathematics and statistics with your business knowledge and experience, you will be able to design and develop new predictive analytical solutions, often by integrating and correlating multiple factors presenting and sharing them professionally and competently.
  
  
 In this business-oriented, technologically innovative environment, your work will range from data science to data engineering, with a healthy dose of information design and data visualisation. You will learn to: 
 
  design databases for analytical purposes; 
  analyse and integrate data sources; 
  design KPIs and the most efficient calculation frameworks; 
  analyse, design and implement reporting models and monitoring dashboards; 
  analyse business processes and design analytical support models; 
  implement analytical solutions, support the go-live and handle application maintenance.
 
  
  
 The ideal candidate must have: 
 
  an ability to combine business skills with IT expertise; 
  data modelling skills; 
  a degree in business, mathematics, mathematical engineering, statistics, computer engineering, engineering management or computer science; 
  an interest in business intelligence/data & analytics; 
  excellent knowledge of English, preferably with study and/or work experience abroad; 
  excellent knowledge of Microsoft Office; 
  knowledge of at least one of the following databases: Oracle/SQLServer/PostgreSQL; 
  knowledge of SQL; 
  knowledge of programming languages is an advantage.
 
  
  
 You are a problem solver and never lose sight of your goals. You have strong interpersonal skills and are a team player. Your motivation and enthusiasm inspire confidence and empower change. You enjoy taking on challenges and are comfortable in fast-changing situations where your leadership abilities make the difference.
  
  
 In today’s increasingly complex and interconnected world, clients need to transform and adapt ever more rapidly. At KPMG Advisory, we focus on the main drivers of change: strategies, corporate finance, organisational processes and models, technological platforms, risk management and organisational change. Our work is uniquely challenging given its scope, complexity and importance. You will experience disruptive technologies and set the new standards that impact their security. You will have access to global opportunities and the possibility of gaining skills and expertise that will help you reach your goals.
  
  
 Your data will be processed in full compliance with the provisions of Regulation (EU) no. 679/2016 (General Data Protection Regulation - “GDPR”), as amended. 
 KPMG Advisory S.p.A. is an equal opportunity employer.
  
  
 #LI-MB1
"|3539
e397e3ec7660b7d6|Data Analyst|https://www.indeed.com/viewjob?jk=e397e3ec7660b7d6|Milan, IT|Unobravo||"
 Are you passionate about revolutionizing the field of psychology?
  Unobravo is leading the way in Italy with their innovative e-mental care startup, and has provided exceptional online psychotherapy services to over 113,000 people and conducted over 1,6 million therapy sessions with a team of 3,500 therapists.
  If you have a ""think-outside-the-box"" mentality and believe in the power of teamwork to generate exceptional ideas, Unobravo is the ideal company for you to unleash your potential.
  We are seeking a highly skilled Data Analyst obsessed with data quality to join our data team.
  You show:
  
   3+ years experience as a Data Analyst or similar role. 
  Strong programming skills in SQL, and other relevant languages. 
  Experience in the application of descriptive statistics. 
  Familiarity with Data Visualization tools (Tableau, PowerBI, Quicksight etc.). 
  Basic knowledge of Python or other scripting language. 
  Good knowledge of relational and non-relational databases. 
  Familiarity with Agile methodology - Scrum. 
  Excellent problem-solving skills and attention to detail. 
  Strong communication and collaboration skills. 
  Flexibility and precision. 
  Availability to work in full remote. 
 
  Preferred experience include:
  
   Degree in Mathematics, Physics or other quantitative field. 
  Curiosity towards the evolutions in the Data field, resourcefulness. 
 
  As Data Analyst, you will:
  
   Liasing with other teams to formalize requirements and providing an analytical point of view. 
  Performing statistical analysis on the available data. 
  Coming up with the best way to present data to stakeholders. 
  Providing business insights on the statistical output. 
  Encroaching into data engineering (ETL, maintain and improve the DWH, setup automatic jobs) tasks if necessary. 
  Dialogue with the various Unobravo teams to fine-tune both punctual and continuous analyses. 
  Introducing processes, tools and methodologies in the data use cycle. 
  Create and review high business value dashboards. 
  Monitor the quality of the data presented to the end user. 
  Propose new KPIs for performance monitoring. 
 
  Benefit:
  
   100% flexibility & full smart working 
  A stimulating and growing work environment 
  Focus on work-life balance 
  Free online yoga and fitness classes 
  Discount on psychotherapy sessions 
 
  Are you the Unobravo we are looking for? Apply today!

"|2429
